  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        3.371            0      231.239        0.000      111.059
        1        0.150        3.386            0      232.431        0.096      113.990
        2        0.154        3.380            0      232.901        0.210      117.583
        3        0.240        3.300            0      230.265        3.133      118.280
        4        0.157        3.416            0      234.281        0.954      112.905
        5        0.612        3.554            0      235.553        0.000      118.393
        6        0.537        3.555            0      235.488        0.000      114.162
        7        0.497        3.533            0      234.945        0.000      115.080
        8        0.593        3.572            0      235.952        0.091      113.096
        9        0.721        3.562            0      235.705        0.592      113.457
       10        0.376        3.475            0      231.991        0.101      114.164
       11        0.589        3.557            0      236.101        0.112      113.567
       12        0.378        3.496            0      234.500        0.218      114.591
       13        0.456        3.510            0      234.859        0.404      113.497
       14        0.591        3.565            0      237.416        1.009      112.885
       15        0.400        3.499            0      234.715        0.000      111.083
       16        0.292        3.445            0      233.477        2.129      111.605
       17        0.461        3.488            0      232.947        0.000      112.772
       18        0.586        3.582            0      236.187        0.000      115.225
       19        0.365        3.486            0      235.173        0.435      115.304
       20        0.136        3.392            0      232.947        0.000      111.451
       21        0.428        3.510            0      235.683        0.000      113.581
       22        0.480        3.522            0      234.453        0.633      111.371
       23        0.590        3.529            0      233.755        0.452      111.401
       24        0.508        3.521            0      235.184        0.000      114.137
       25        0.218        3.435            0      234.535        0.000      120.904
       26        0.121        3.384            0      232.685        0.078      114.760
       27        0.145        3.399            0      234.165        0.000      115.869
       28        0.192        3.331            0      231.781        0.787      115.520
       29        0.115        3.390            0      232.629        0.050      114.809
       30        0.170        3.376            0      233.653        0.000      118.847
       31        0.167        3.449            0      233.688        1.426      112.982
       32        0.105        3.401            0      233.347        0.000      114.175
       33        0.106        3.378            0      233.380        0.000      112.386
       34        0.114        3.398            0      233.712        0.289      112.390
       35        0.180        3.431            0      232.521        0.212      116.871
       36        0.208        3.343            0      232.038        0.262      114.316
       37        0.136        3.413            0      235.000        0.000      115.821
       38        0.149        3.348            0      231.981        0.150      112.822
       39        0.555        3.554            0      235.266        0.001      117.412
       40        0.150        3.445            0      234.156        0.000      114.880
       41        0.166        3.384            0      232.660        0.000      118.107
       42        0.205        3.343            0      231.095        0.382      116.982
       43        0.157        3.383            0      232.349        0.341      117.799
