title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
5T8E - minimized 66728267,-71.4417654122954,-26.8352531083456,6.51278221929215,-1.69458379724995,-18.6112640393683,-3.65426378762848,0.0,29.2027517263596,,-56.3619346253527,6.77384761265711,1.05174053233827,6.51278221929199,0.0,0.0474080777039929,0.0,0.0,-1.20874795084376,,0.370664734166652,-313.784174906789,-341.816860568163,6.9259723886528,0.0,-2.17199324175833,0.0,0.0,-10.3393511923786,,33.618057706858,-9082.13317738635,-8843.24754923193,3770.18166424902,-148.030946573587,-643.949829667142,-30.5924481432803,-33.8899198307087,-2293.3193244066,,-859.284823782124,-313.784174906789,-341.816860568163,6.9259723886528,0.0,-2.17199324175833,0.0,0.0,-10.3393511923786,,33.618057706858,-8696.90723706727,-8474.59543555542,3756.74290964108,-146.336362776338,-623.166572386016,-26.9381843556519,-33.8899198307087,-2312.18272494058,,-836.54094686363,-78.2156130249514,-27.8869936406827,4.54747350886464e-13,-1.69458379724995,-18.6586721170722,-3.65426378762848,0.0,30.4114996772032,,-56.7325993595193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.74776020816521,-4.12164031224781,-16.7778641875251
5T8E - minimized 66728267,-54.5702398611338,-16.0577013719758,3.34842884618456,-0.599669194960171,-16.4794927565915,-1.54667365791867,0.0,31.4122638245208,,-54.6473955503977,7.08494174861426,3.29137345013396,3.34842884618449,0.0,0.0438887770070013,0.0,0.0,0.70963858709456,,-0.308387911805802,-319.308636694153,-345.882779955324,7.00337632667002,0.0,-2.35297904829844,0.0,0.0,-13.0121874647286,,34.9359334475283,-9235.6857171856,-8794.94073139705,3575.67929932652,-149.264781449043,-644.836466030604,-28.4327350707844,-23.4999533187499,-2329.31942937737,,-841.070919868519,-319.308636694153,-345.882779955324,7.00337632667002,0.0,-2.35297904829844,0.0,0.0,-13.0121874647286,,34.9359334475283,-8861.80684063031,-8433.00025006975,3565.32749415366,-148.665112254082,-626.003994225714,-26.8860614128657,-23.4999533187499,-2347.71950573716,,-821.35945776565,-61.655181609749,-19.3490748221102,0.0,-0.599669194960171,-16.5233815335986,-1.54667365791867,0.0,30.7026252374262,,-54.339007638592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.09885537927438,-3.14828306891157,-12.8156417718255
5T8E - minimized 66728267,-65.1174360130335,-21.7965398878696,5.18418236164052,-1.03378660979374,-16.0957579124305,-1.73230253817121,0.0,26.4220003227001,,-56.0652317491124,6.52219665309229,1.87848560402398,5.18418236164207,0.0,-0.0563608133598468,0.0,0.0,0.372660882308708,,-0.856771381522613,-319.24793559674,-345.870761660915,6.99840633690815,0.0,-2.3553995598241,0.0,0.0,-12.9507673320385,,34.9305866191295,-9223.59753368241,-8834.90694709889,3619.28402580594,-146.909489079379,-649.27071071474,-26.635503106439,-31.9001512749583,-2297.19365353572,,-856.065104678225,-319.24793559674,-345.870761660915,6.99840633690815,0.0,-2.3553995598241,0.0,0.0,-12.9507673320385,,34.9305866191295,-8839.23216207263,-8467.2396455501,3607.10143710739,-145.875702469586,-630.819553242485,-24.9032005682678,-31.9001512749583,-2310.66488652638,,-834.930459548242,-71.639632666127,-23.6750254918934,-1.36424205265939e-12,-1.03378660979374,-16.0393970990707,-1.73230253817121,0.0,26.0493394403911,,-55.2084603675897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.50451676973206,-3.75677515459809,-15.2926161799258
5T8E - minimized 66728267,-65.896910929303,-21.2195051795425,6.87632157056805,-1.56138933234246,-16.5091596913713,-1.89779868936779,0.0,23.3561767841866,,-54.9415563914351,7.26598354749399,1.93530522754116,6.87632157056695,0.0,0.224355831810394,0.0,0.0,-0.83736539369022,,-0.93263368873432,-315.214602449682,-346.360644218476,8.79638065084707,0.0,-2.41860735616116,0.0,0.0,-9.31103771388103,,34.0793061879884,-9282.02497923866,-8791.26749942076,3547.50540042913,-146.805458182769,-643.228176927378,-28.4594838765626,-37.7399739190358,-2303.3666004466,,-878.663186894684,-315.214602449682,-346.360644218476,8.79638065084707,0.0,-2.41860735616116,0.0,0.0,-9.31103771388103,,34.0793061879884,-8900.91346585967,-8423.68735002275,3531.83269820772,-145.244068850426,-624.300409879845,-26.5616851871949,-37.7399739190358,-2317.41173951691,,-857.800936691237,-73.1628944767981,-23.1548104070844,9.09494701772928e-13,-1.56138933234246,-16.7335155231817,-1.89779868936779,0.0,24.1935421778767,,-54.0089227027008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.53449657420396,-3.80174486130594,-15.4756733063459
5T8E - minimized 66728267,-68.2430443021822,-23.1034744395656,4.75033964573959,-1.04668654455938,-17.202500358528,-2.43487212880538,0.0,27.7187018991535,,-56.9245523756131,4.51764720372586,0.1342158481213,4.75033964573942,0.0,-0.0728308843385199,0.0,0.0,-0.550741322433566,,0.256663916637294,-315.899855800141,-341.205068003259,5.12819773202455,0.0,-1.55705739570129,0.0,0.0,-12.5220378014981,,34.2561096682933,-9181.34410757155,-8915.30861649489,3568.88847229891,-143.010120970733,-628.36868356452,-27.0335478506215,-29.9427670284154,-2166.12322014955,,-840.445623811718,-315.899855800141,-341.205068003259,5.12819773202455,0.0,-1.55705739570129,0.0,0.0,-12.5220378014981,,34.2561096682933,-8797.20120746923,-8551.00007405207,3559.00993492114,-141.963434426174,-609.609125810291,-24.5986757218161,-29.9427670284154,-2181.31988424721,,-817.777181104398,-72.7606915059077,-23.2376902876858,0.0,-1.04668654455938,-17.1296694741894,-2.43487212880538,0.0,28.2694432215867,,-57.1812162922504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.62473247316085,-3.93709870974128,-16.0266550306751
5T8E - minimized 66728267,-82.396092592322,-36.6128206901849,4.43320905864493,-1.57989510668227,-17.7385252691656,-2.56989375151034,0.0,28.1452939185237,,-56.473460751945,3.69405695935353,-0.668602578567913,4.43320905864633,0.0,0.123757759518594,0.0,0.0,-0.390308813250044,,0.196001533006608,-318.848280311967,-344.903310173696,6.64351395715405,0.0,-1.99863104650554,0.0,0.0,-13.4605364967226,,34.8706834478027,-9222.00863847409,-8697.8144814141,3610.24898202449,-143.863056133639,-635.735874553856,-23.8582230035175,-36.8800867045999,-2428.03853730774,,-866.067361381123,-318.848280311967,-344.903310173696,6.64351395715405,0.0,-1.99863104650554,0.0,0.0,-13.4605364967226,,34.8706834478027,-8820.7642655698,-8316.29835055022,3599.17225900869,-142.283161026957,-615.998718238184,-21.2883292520071,-36.8800867045999,-2442.72329472954,,-844.464584076981,-86.0901495516755,-35.9442181116174,-1.36424205265939e-12,-1.57989510668227,-17.8622830286843,-2.56989375151034,0.0,28.5356027317735,,-56.6694622849517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.16908048432008,-4.75362072648012,-19.3504519816752
5T8E - minimized 66728267,0.0422896177133225,0.662712001387263,0.00427146734909911,0.0,4.38762640442292e-06,0.0,0.0,-0.610313525663059,,-0.0143847129877486,-0.0327397646451004,0.00201081827594862,0.00427146734870654,0.0,4.38762653187652e-06,0.0,0.0,-0.0329185219242163,,-0.00610791597210181,-316.000518616875,-340.79412666579,3.93417667820565,0.0,-1.50507373222856,0.0,0.0,-13.1846346423651,,35.5491397453035,-9028.21643381412,-8565.31495252785,3671.18636902381,-138.106231726853,-609.94750942804,-20.3723081119188,-37.2691572331394,-2561.49787192899,,-766.89477188114,-316.000518616875,-340.79412666579,3.93417667820565,0.0,-1.50507373222856,0.0,0.0,-13.1846346423651,,35.5491397453035,-8712.25820481496,-8225.18353786345,3667.24792087825,-138.106231726853,-608.442440083438,-20.3723081119188,-37.2691572331394,-2547.70292376096,,-802.429526913455,0.0750293823584798,0.660701183111087,4.54747350886464e-13,0.0,-1.13686837721616e-13,0.0,0.0,-0.577395003738729,,-0.00827679701558282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.00162652375820471,0.00243978563730707,0.00993157795642001
5T8E - minimized 66728267,-67.4115820502211,-30.9749325972443,5.56479432042579,-1.56100877556159,-17.0795827410635,-1.84925066382161,0.0,29.0996973496617,,-50.6112989426181,5.87123937386298,-0.944401256137724,5.5647943204261,0.0,-0.0509642616585171,0.0,0.0,-0.338444617326388,,1.64025518855949,-315.850342874951,-341.200830090099,5.14258805954014,0.0,-1.557569661932,0.0,0.0,-12.4758493588593,,34.2413181763993,-9156.47917736791,-8697.38267361392,3593.89335006164,-143.242907699122,-640.256120034723,-25.0049074833593,-34.6308173631362,-2371.63844070269,,-838.216660532589,-315.850342874951,-341.200830090099,5.14258805954014,0.0,-1.557569661932,0.0,0.0,-12.4758493588593,,34.2413181763993,-8773.21725244274,-8325.20691092658,3583.18596768167,-141.68189892356,-621.618967631727,-23.1556568195377,-34.6308173631362,-2388.26228869349,,-821.84667976637,-73.2828214240835,-30.0305313411081,0.0,-1.56100877556159,-17.0286184794051,-1.84925066382161,0.0,29.438141966988,,-52.2515541311776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.59275315577774,-3.8891297336666,-15.8313888490522
5T8E - minimized 66728267,0.153054231439455,2.36132178752632,0.00208665811032915,0.0,6.4217253679999e-05,0.0,0.0,-2.1933342478319,,-0.0170841836226145,-0.00757520800607381,-0.00102179510798805,0.00208665810974118,0.0,6.42172535794128e-05,0.0,0.0,-0.00720023932655067,,-0.00150404893494738,-315.450701567588,-340.347508358268,5.26305178251315,0.0,-1.56076869814646,0.0,0.0,-12.9666157691787,,34.1611394754922,-9116.51065257507,-8678.20378466664,3640.62042640383,-141.773861032312,-630.281535592647,-22.7622667660342,-36.0357466932923,-2456.27658358184,,-791.797300646132,-315.450701567588,-340.347508358268,5.26305178251315,0.0,-1.56076869814646,0.0,0.0,-12.9666157691787,,34.1611394754922,-8801.21300523892,-8340.2175980959,3635.3552879632,-141.773861032312,-628.720831111754,-22.7622667660342,-36.0357466932923,-2441.11663356483,,-825.941355938001,0.160629439444165,2.36234358263573,4.54747350886464e-13,0.0,1.13686837721616e-13,0.0,0.0,-2.18613400850518,,-0.0155801346877524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.00588670120920981,0.00883005181381472,0.0359442840416605
5T8E - minimized 66728267,-65.7881182917645,-22.3463434206897,5.81640908784266,-1.1081891892315,-18.1545207247957,-1.88840873446425,0.0,28.6916041420427,,-56.7986694524684,6.25464887227815,0.098090514391572,5.81640908784271,0.0,-0.0167456508708874,0.0,0.0,-0.478763603225957,,0.835658524140776,-316.03888311832,-341.207149489663,5.13245908394137,0.0,-1.55704107192491,0.0,0.0,-12.6623576894982,,34.2552060488239,-9195.18679090024,-8802.46999763795,3617.55054621381,-145.852680833097,-645.863576832928,-26.0585421976512,-40.3076841980258,-2309.14321993787,,-843.041635476525,-316.03888311832,-341.207149489663,5.13245908394137,0.0,-1.55704107192491,0.0,0.0,-12.6623576894982,,34.2552060488239,-8813.35978949015,-8438.9165047276,3606.60167804202,-144.744491643866,-626.152015036208,-24.1701334631869,-40.3076841980258,-2325.17246639041,,-820.498172072881,-72.0427671640427,-22.4444339350812,0.0,-1.1081891892315,-18.1377750739248,-1.88840873446425,0.0,29.1703677452688,,-57.6343279766091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.53031224199094,-3.79546836298641,-15.4501237123978
5T8E - minimized 66728267,-60.9036790672199,-20.6701045452028,4.25285146705119,-1.29778511002638,-16.7842845425919,-1.36721020115201,0.0,30.2564635758049,,-55.2936097111033,4.82905028126146,-0.658431433935732,4.25285146705186,0.0,0.00706891135140486,0.0,0.0,0.0937352345681575,,1.13382610222591,-316.003423902989,-340.942022697025,3.9254805985061,0.0,-1.50362090458671,0.0,0.0,-13.0259758200868,,35.5427149202043,-9213.51582283744,-8720.98284548092,3552.56805865042,-145.051048095828,-631.219085633004,-26.4188482789435,-34.9589479354452,-2365.59864349229,,-841.854462571432,-316.003423902989,-340.942022697025,3.9254805985061,0.0,-1.50362090458671,0.0,0.0,-13.0259758200868,,35.5427149202043,-8836.60871986723,-8359.37071823869,3544.38972658487,-143.753262985802,-612.931180185826,-25.0516380777915,-34.9589479354452,-2382.82913124801,,-822.103567780533,-65.7327293484814,-20.0116731112666,-9.09494701772928e-13,-1.29778511002638,-16.7913534539432,-1.36721020115201,0.0,30.1627283412367,,-56.4274358133291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.34244919489307,-3.51367379233961,-14.3030291876658
